2000,10 cropland_rainfed,11 cropland_rainfed_herbaceous_cover,12 cropland_rainfed_tree_or_shrub_cover,20 cropland_irrigated,30 mosaic_cropland,40 mosaic_natural_vegetation,60 tree_broadleaved_deciduous_closed_to_open,70 tree_needleleaved_evergreen_closed_to_open,90 tree_mixed,100 mosaic_tree_and_shrub,130 grassland,150 sparse_vegetation,180 shrub_or_herbaceous_cover_flooded,190 urban,200 bare_areas,210 water
10 cropland_rainfed,8893,0,0,0,0,0,77,0,0,2,0,0,0,1437,0,0
11 cropland_rainfed_herbaceous_cover,0,15982,0,0,0,0,64,0,0,0,0,0,0,519,0,0
12 cropland_rainfed_tree_or_shrub_cover,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0
20 cropland_irrigated,0,0,0,12918,0,0,181,1,0,5,0,0,0,234,0,0
30 mosaic_cropland,0,4,0,0,1705,4,55,0,0,2,0,0,0,155,0,0
40 mosaic_natural_vegetation,0,0,0,0,0,819,45,0,0,2,0,0,0,12,0,0
60 tree_broadleaved_deciduous_closed_to_open,16,41,0,17,11,22,4747,0,0,13,1,0,0,51,6,0
70 tree_needleleaved_evergreen_closed_to_open,0,0,0,0,0,0,0,107,0,2,0,0,0,4,1,0
90 tree_mixed,2,3,0,0,2,0,0,0,383,4,0,0,1,43,0,0
100 mosaic_tree_and_shrub,0,1,0,0,1,0,9,1,0,586,0,0,0,44,0,0
130 grassland,0,0,0,0,0,0,5,0,0,2,60,0,0,0,0,0
150 sparse_vegetation,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
180 shrub_or_herbaceous_cover_flooded,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190 urban,0,0,0,0,0,0,0,0,0,0,0,0,0,14839,0,0
200 bare_areas,0,0,0,0,0,0,17,0,0,1,0,0,0,1411,940,0
210 water,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,229
